Company,Location_HQ,Industry,Laid_off_count,Percentage,date,Stage,Country,Funds_Raised
F-Secure,Helsinki,Security,70,NULL,2023-10-25,Post-IPO,Finland,NULL
23andMe,"SF Bay Area",Healthcare,71,0.11,2023-08-08,Post-IPO,"United States",1100
2U,"Washington D.C.",Education,NULL,NULL,2023-09-28,Post-IPO,"United States",426
2U,"Washington D.C.",Education,NULL,NULL,2024-01-22,Post-IPO,"United States",426
7shifts,Saskatoon,Food,30,0.07,2023-09-15,"Series C",Canada,131
7Shifts,Saskatoon,Food,68,0.19,2024-01-11,"Series C",Canada,131
98point6,Seattle,Healthcare,NULL,NULL,2024-04-23,Acquired,"United States",299
Absci,Portland,Healthcare,30,0.15,2023-09-05,Post-IPO,"United States",238
Acronis,Zurich,Security,NULL,NULL,2023-10-11,"Private Equity",Switzerland,658
Actyv.ai,Bengaluru,Finance,NULL,0.6,2023-08-02,Seed,India,12
Adda247,Gurugram,Education,300,NULL,2023-10-14,"Series B",India,61
Affirm,Pittsburgh,Finance,60,NULL,2024-02-21,Post-IPO,"United States",1500
"Agility Robotics",Portland,Other,NULL,NULL,2024-04-04,"Series B","United States",179
Airmeet,Bengaluru,Marketing,NULL,0.2,2024-03-19,"Series B",India,50
Airtable,"SF Bay Area",Product,237,0.27,2023-09-14,"Series F","United States",1400
"Akili Interactive",Boston,Healthcare,NULL,0.46,2024-04-30,Post-IPO,"United States",271
"Akili Labs",Boston,Healthcare,NULL,0.4,2023-09-13,Post-IPO,"United States",301
Akseleran,Jakarta,Finance,60,NULL,2023-07-27,"Series A",Indonesia,9
Akudo,Bengaluru,Finance,NULL,1.0,2023-09-20,Seed,India,4
"Aleph Farms","Tel Aviv",Food,30,0.3,2024-06-05,Unknown,Israel,119
Alerzo,Ibadan,Retail,100,NULL,2023-11-21,"Series B",Nigeria,16
"ALI Technologies",Tokyo,Transportation,NULL,1.0,2024-01-16,Unknown,Japan,NULL
